"syst","gen_sp","site","abund","ef","study"
"PA","Diospyros_sumatrana","VG-PSH-2",1,161.961551719855,"TEAM"
"PA","Diospyros_sumatrana","VG-PSH-6",1,28.5565442549374,"TEAM"
"PA","Diospyros_tristis","VG-PSH-5",1,1280.9126083552,"TEAM"
"PA","Diospyros_venosa","VG-PSH-1",1,74.5092367442007,"TEAM"
"PA","Diplospora_malaccensis","VG-PSH-1",1,39.6336868630729,"TEAM"
"PA","Diplospora_malaccensis","VG-PSH-6",1,263.199493190799,"TEAM"
"PA","Dipterocarpus_cornutus","VG-PSH-1",11,7093.69139992386,"TEAM"
"PA","Dipterocarpus_cornutus","VG-PSH-2",4,779.810154256744,"TEAM"
"PA","Dipterocarpus_costulatus","VG-PSH-1",2,726.018728653237,"TEAM"
"PA","Dipterocarpus_crinitus","VG-PSH-1",1,727.765672271034,"TEAM"
"PA","Dipterocarpus_crinitus","VG-PSH-4",2,87.072371462717,"TEAM"
"PA","Dipterocarpus_grandiflorus","VG-PSH-4",9,7217.26749303601,"TEAM"
"PA","Dipterocarpus_sublamellatus","VG-PSH-1",1,929.84412075316,"TEAM"
"PA","Dracaena_brachystachys","VG-PSH-1",3,63.3657785819105,"TEAM"
"PA","Dracaena_brachystachys","VG-PSH-2",2,45.8329534831607,"TEAM"
"PA","Dracontomelon_dao","VG-PSH-3",1,379.936410424428,"TEAM"
"PA","Dracontomelon_dao","VG-PSH-6",1,77.2946743365484,"TEAM"
"PA","Drimycarpus_luridus","VG-PSH-2",1,61.0160551546249,"TEAM"
"PA","Drypetes_laevis","VG-PSH-1",1,99.5113491353585,"TEAM"
"PA","Drypetes_longifolia","VG-PSH-2",1,55.5215361299129,"TEAM"
"PA","Drypetes_megacarpa","VG-PSH-3",1,59.894757562904,"TEAM"
"PA","Drypetes_polyneura","VG-PSH-1",2,58.088627745365,"TEAM"
"PA","Drypetes_polyneura","VG-PSH-2",2,387.473332184187,"TEAM"
"PA","Drypetes_viridis","VG-PSH-2",1,40.9046938611241,"TEAM"
"PA","Duabanga_grandiflora","VG-PSH-3",4,10222.5288549675,"TEAM"
"PA","Durio_griffithii","VG-PSH-1",2,82.9720605798684,"TEAM"
"PA","Durio_lowianus","VG-PSH-2",1,36.6470199146357,"TEAM"
"PA","Durio_lowianus","VG-PSH-6",1,1197.2762061822,"TEAM"
"PA","Durio_singaporensis","VG-PSH-3",2,229.031528351492,"TEAM"
"PA","Dyera_costulata","VG-PSH-2",1,64.1011284924704,"TEAM"
"PA","Dysoxylum_alliaceum","VG-PSH-4",1,289.905969949162,"TEAM"
"PA","Dysoxylum_alliaceum","VG-PSH-5",1,43.7512953979841,"TEAM"
"PA","Dysoxylum_excelsum","VG-PSH-3",1,289.905969949162,"TEAM"
"PA","Dysoxylum_flavescens","VG-PSH-4",1,39.5800280204443,"TEAM"
"PA","Elaeocarpus_ferrugineus","VG-PSH-1",2,76.9681072640934,"TEAM"
"PA","Elaeocarpus_ferrugineus","VG-PSH-4",1,39.1134589237923,"TEAM"
"PA","Elaeocarpus_ferrugineus","VG-PSH-5",1,27.6630374968438,"TEAM"
"PA","Elaeocarpus_mastersii","VG-PSH-4",1,106.467215527672,"TEAM"
"PA","Elaeocarpus_pedunculatus","VG-PSH-5",1,161.568684978434,"TEAM"
"PA","Elaeocarpus_petiolatus","VG-PSH-5",1,119.324969856622,"TEAM"
"PA","Elaeocarpus_stipularis","VG-PSH-5",1,63.6114374175213,"TEAM"
"PA","Elaeocarpus_stipularis","VG-PSH-6",1,18.1037105884794,"TEAM"
"PA","Elaeocarpus_symingtonii","VG-PSH-2",1,24.7528768617267,"TEAM"
