"","Family","Genus","Species","Diameter","POM.Height","Sampling.Period","X1ha.Plot.X.Coordinate","X1ha.Plot.Y.Coordinate","X1ha.Plot.Number","Gen_sp","Year","density","biomass","carbon"
"789","Anacardiaceae","Tapirira","guianensis",37.9,1.3,2010.01,93,75.9,"VG-BCI-3","Tapirira_guianensis","2010",0.438777777777778,963.513216363622,481.756608181811
"790","Anacardiaceae","Tapirira","guianensis",85,3.2,2010.01,97.6,79.7,"VG-BCI-3","Tapirira_guianensis","2010",0.438777777777778,6916.64817100148,3458.32408550074
"791","Arecaceae","Socratea","exorrhiza",12.3,3,2010.01,93,74,"VG-BCI-3","Socratea_exorrhiza","2010",0.23,26.6158792064164,13.3079396032082
"792","Burseraceae","Trattinnickia","aspera",23.3,1.3,2010.01,93,70.3,"VG-BCI-3","Trattinnickia_aspera","2010",0.458894736842105,287.116312680538,143.558156340269
"793","Achariaceae","Lindackeria","laurina",13.1,3.2,2010.01,94,69.1,"VG-BCI-3","Lindackeria_laurina","2010",0.56,76.6083159825086,38.3041579912543
"794","Sapotaceae","Pouteria","fossicola",15.2,1.3,2010.01,96.6,69.2,"VG-BCI-3","Pouteria_fossicola","2010",0.714372222222222,144.985902887212,72.4929514436058
"795","Vochysiaceae","Erisma","blancoa",54,1.3,2010.01,96.5,69,"VG-BCI-3","Erisma_blancoa","2010",0.5358,2851.3377436883,1425.66887184415
"796","Chrysobalanaceae","Maranthes","panamensis",14,1.3,2010.01,99.5,68.7,"VG-BCI-3","Maranthes_panamensis","2010",0.817294117647059,133.371280940636,66.6856404703178
"797","Apocynaceae","Malouetia","isthmica",23.2,1.3,2010.01,98.6,62.9,"VG-BCI-3","Malouetia_isthmica","2010",0.526666666666667,325.832185411866,162.916092705933
"798","Fabaceae","Lonchocarpus","heptaphyllus",21,1.3,2010.01,87.9,84.7,"VG-BCI-3","Lonchocarpus_heptaphyllus","2010",0.740176470588235,352.655541646111,176.327770823056
"799","Meliaceae","Trichilia","tuberculata",38.9,2.75,2010.01,89.1,85.9,"VG-BCI-3","Trichilia_tuberculata","2010",0.63409756097561,1487.5000772232,743.7500386116
"800","Rubiaceae","Tocoyena","pittieri",16.5,1.3,2010.01,81.2,90.9,"VG-BCI-3","Tocoyena_pittieri","2010",0.62,156.37941561504,78.1897078075202
"801","Euphorbiaceae","Alchornea","latifolia",14,1.3,2010.01,82,93.8,"VG-BCI-3","Alchornea_latifolia","2010",0.412789473684211,67.3616262191778,33.6808131095889
"802","Moraceae","Perebea","xanthochyma",13.5,1.3,2010.01,84,92.7,"VG-BCI-3","Perebea_xanthochyma","2010",0.487833333333333,72.2832700340231,36.1416350170115
"803","Sapindaceae","Pseudima","frutescens",32,1.3,2010.01,85.9,91,"VG-BCI-3","Pseudima_frutescens","2010",0.8,1140.07852981104,570.03926490552
"804","Moraceae","Poulsenia","armata",20.2,1.93,2010.01,86.9,91.7,"VG-BCI-3","Poulsenia_armata","2010",0.350428571428571,150.754512049908,75.3772560249538
