"","CAN","CEM","FOS","LAV","LAW","OLD","QUA","ROO","ROY","WES","ZIO","HIL","HOL","JUN","MOU","AMW","BAR","BUC","EVE","PRK","US2","CAR","HOM","VAN"
"Heriades_variolosus",0.0318226600985222,0.0238669950738916,0.0318226600985222,0.00795566502463054,0,0,0.0159113300492611,0,0.0159113300492611,0.0477339901477832,0,0,0.0159113300492611,0,0.0238669950738916,0,0.0318226600985222,0,0,0.0159113300492611,0,0,0.0397783251231527,0.0238669950738916
"Hoplitis_pilosifrons",0,0.0159113300492611,0,0.0159113300492611,0,0,0,0,0.0159113300492611,0,0,0,0.119334975369458,0.0159113300492611,0.00795566502463054,0,0.00795566502463054,0.0159113300492611,0,0,0.00795566502463054,0.0132594417077176,0,0
"Hoplitis_producta",0,0.00795566502463054,0,0.0318226600985222,0.0159113300492611,0.0477339901477832,0.0318226600985222,0,0.0636453201970443,0,0.0397783251231527,0.0198891625615764,0.00795566502463054,0.0238669950738916,0.0318226600985222,0,0.0159113300492611,0.0159113300492611,0,0.00795566502463054,0.0318226600985222,0.00662972085385878,0.00795566502463054,0
"Hoplitis_spoliata",0,0.00795566502463054,0.00795566502463054,0,0.0159113300492611,0.0159113300492611,0.0397783251231527,0,0,0,0.0132594417077176,0.0132594417077176,0,0,0,0,0,0,0,0,0.00795566502463054,0.00662972085385878,0,0
"Hylaeus_affinis",0,0.0353271028037383,0.0176635514018692,0.0353271028037383,0.0353271028037383,0.0176635514018692,0.223738317757009,0,0.0235514018691589,0.0176635514018692,0,0.063785046728972,0.141308411214953,0.00588785046728972,0.00588785046728972,0.0196261682242991,0.0353271028037383,0.0529906542056075,0,0.00588785046728972,0.0942056074766355,0.0196261682242991,0.00588785046728972,0.0117757009345794
"Hylaeus_affinis_modestus",0.00588785046728972,0.00588785046728972,0.0235514018691589,0.0176635514018692,0,0.0117757009345794,0.0706542056074766,0,0.0117757009345794,0.0117757009345794,0,0.00490654205607477,0.0117757009345794,0.00588785046728972,0,0.00490654205607477,0.0176635514018692,0.0235514018691589,0,0,0.0176635514018692,0,0,0.00588785046728972
"Hylaeus_mesillae",0,0.041214953271028,0.0117757009345794,0.0353271028037383,0.041214953271028,0.0235514018691589,0.0883177570093458,0,0.0353271028037383,0.0235514018691589,0,0.0245327102803738,0.0176635514018692,0,0,0,0.0235514018691589,0.0588785046728972,0,0.00588785046728972,0.0883177570093458,0.00490654205607477,0.00588785046728972,0.0235514018691589
"Hylaeus_modestus",0,0,0.0117757009345794,0.041214953271028,0,0.00588785046728972,0.0647663551401869,0,0.0471028037383178,0,0.00490654205607477,0,0.0117757009345794,0.00588785046728972,0,0.0147196261682243,0.00588785046728972,0.0117757009345794,0.0176635514018692,0.00588785046728972,0.0235514018691589,0,0,0.0117757009345794
"Hylaeus_sparsus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588785046728972
"Lasioglossum_abanci",0,0,0,0,0,0,0.00707792207792208,0,0,0,0,0,0,0,0.00707792207792208,0,0,0,0.00707792207792208,0.0141558441558442,0,0,0,0
"Lasioglossum_admirandum",0,0,0,0,0,0,0.00588785046728972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_atwoodi",0,0,0,0,0.00588785046728972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588785046728972,0,0,0
"Lasioglossum_callidum",0,0,0,0,0,0,0,0,0,0,0,0,0.00588785046728972,0,0,0,0,0.0117757009345794,0,0,0,0,0,0
"Lasioglossum_coeruleum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00707792207792208,0,0,0,0,0,0,0,0,0
"Lasioglossum_coriaceum",0,0,0,0,0,0,0,0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_cressonii",0,0.00588785046728972,0,0,0,0,0,0,0.0117757009345794,0,0,0,0,0.00588785046728972,0,0,0.00588785046728972,0,0,0,0,0,0,0
"Lasioglossum_ephialtum",0,0,0.00588785046728972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_foxii",0,0,0,0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0.00707792207792208,0,0.0141558441558442,0,0,0,0.0141558441558442,0,0,0
"Lasioglossum_gotham",0.00707792207792208,0,0,0,0,0.0212337662337662,0.0212337662337662,0,0,0,0.0058982683982684,0,0,0,0,0.0117965367965368,0,0,0,0,0,0,0,0
"Lasioglossum_gotham_seeTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588785046728972,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_hitchensi",0.0117757009345794,0.0235514018691589,0.0588785046728972,0.041214953271028,0.0176635514018692,0.0235514018691589,0.0176635514018692,0,0,0.0117757009345794,0,0.00490654205607477,0.0647663551401869,0.00588785046728972,0.0176635514018692,0.0441588785046729,0.0294392523364486,0.0235514018691589,0,0.0117757009345794,0,0.00490654205607477,0.0117757009345794,0.041214953271028
"Lasioglossum_hitchensi_weemsi",0,0.00588785046728972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_illinoense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490654205607477,0,0,0,0,0,0,0,0
"Lasioglossum_imitatum",0,0.276728971962617,0.00588785046728972,0,0.00588785046728972,0,0.041214953271028,0,0,0.0176635514018692,0,0,0,0.0529906542056075,0.00588785046728972,0,0.00588785046728972,0.0117757009345794,0.00588785046728972,0,0,0,0.00588785046728972,0
"Lasioglossum_laevissimum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490654205607477,0,0,0,0.00588785046728972,0,0,0,0
"Lasioglossum_nigroviride",0,0,0,0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00707792207792208,0,0,0
"Lasioglossum_nymphaearum",0,0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum_obscurum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588785046728972,0,0,0
"Lasioglossum_paradmirandum",0,0,0,0,0,0,0.0294392523364486,0,0,0,0,0.00490654205607477,0,0.494579439252336,0,0.00981308411214953,0.0176635514018692,0,0,0,0,0,0,0
"Lasioglossum_pilosum",0.00707792207792208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
